dataset,channel,activation,treatment,dose_label,construct,run,replicate,well,lag_sec,density_plated,n_cells,mu_lo,mu_hi,w_hi,sep,ll,n_lo_eff,n_hi_eff,mean_y,med_y,thr_frac,sigma_bio,converged,weak_low,weak_high,weak_sep,note,sigma_unstable,dose_num,pma_units,arm
dox,GFP,activated,run1,20,255,run1,2,run1_255_20_r2,600.0,,45,0.492066590213973,2.215571756307373,0.7075227513081249,1.7235051660933998,-54.254248032654395,13.161472974737755,31.83852702526224,1.738342808748029,1.9115018559763235,0.6444444444444445,0.30947326629309,True,False,False,False,,False,20.0,,dox|activated|run1
dox,GFP,activated,run1,20,255,run1,3,run1_255_20_r3,600.0,,56,0.5690143351193832,2.2285765482521116,0.8167340807203287,1.6595622131327286,-60.4012501775812,10.262890892545908,45.737109107454096,1.9478541887040544,2.102412703401258,0.8035714285714286,0.30947326629309,True,False,False,False,,False,20.0,,dox|activated|run1
dox,GFP,activated,run1,500,255,run1,1,run1_255_500_r1,600.0,,30,0.7087282781173405,1.9357463041951977,0.4041561287825866,1.227018026077857,-34.470905839033314,17.875321399770232,12.124678600229768,1.2686443556103586,1.0674411102061665,0.3666666666666666,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run1
dox,GFP,activated,run1,500,255,run1,2,run1_255_500_r2,600.0,,26,-0.103155180991712,2.2396987446125234,0.8450871019214946,2.3428539256042353,-27.372282747018097,4.02773534883214,21.97226465116786,1.9510623956060376,2.3316813367471756,0.8076923076923077,0.30947326629309,True,True,False,False,,False,500.0,,dox|activated|run1
dox,GFP,activated,run1,500,255,run1,3,run1_255_500_r3,600.0,,32,1.0208638966811971,2.0771581434000876,0.6904839027658507,1.0562942467188905,-29.95185220863575,9.904508069080196,22.09549193091981,1.79409264599931,1.9289793850988504,0.6875,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run1
dox,GFP,activated,run1,untreated,255,run1,1,run1_255_untreated_r1,600.0,,30,-0.0017718548806018,1.96952061070933,0.5262332068702136,1.971292465589932,-34.13768444731753,14.213002801567267,15.786997198432733,1.0586416000803336,1.0755051454845512,0.4333333333333333,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run1
dox,GFP,activated,run1,untreated,255,run1,2,run1_255_untreated_r2,600.0,,68,-0.0670967900097597,1.9886649753876584,0.7273111671699857,2.0557617653974183,-88.08248004505464,18.54284041682604,49.45715958317397,1.467785942500294,1.69543612095066,0.5882352941176471,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run1
dox,GFP,activated,run1,untreated,255,run1,3,run1_255_untreated_r3,600.0,,36,0.7069098835802068,2.2996720246502735,0.5256662029955783,1.5927621410700668,-41.49762527130041,17.076013969111486,18.92398603088852,1.56773676381817,1.7194450427942765,0.5277777777777778,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run1
dox,GFP,activated,run1,100,257,run1,1,run1_257_100_r1,600.0,,111,0.323706662586965,2.0545953465514195,0.678436213098071,1.7308886839644544,-149.29243285259264,35.69357213155502,75.30642786844498,1.5649050851131898,1.828547909811289,0.5945945945945946,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run1
dox,GFP,activated,run1,100,257,run1,2,run1_257_100_r2,600.0,,44,-0.1037006182277043,2.0411009042553427,0.5783195704270312,2.1448015224830472,-63.2369810169238,18.55393583207595,25.44606416792405,1.1793821755891352,1.4911829770998244,0.5227272727272727,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run1
dox,GFP,activated,run1,100,257,run1,3,run1_257_100_r3,600.0,,37,0.6285805050721655,2.197195406045202,0.5578340599262848,1.5686149009730368,-41.8834231127208,16.36013683764996,20.639863162350046,1.5275159800280256,1.734230399847366,0.5405405405405406,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run1
dox,GFP,activated,run1,20,257,run1,1,run1_257_20_r1,600.0,,66,0.0596988486214427,2.329780759448991,0.6812306480243631,2.2700819108275483,-99.75359381631442,21.038775180069766,44.96122481993022,1.6941771347611445,2.1013782241514085,0.6363636363636364,0.30947326629309,True,False,False,False,,False,20.0,,dox|activated|run1
dox,GFP,activated,run1,20,257,run1,2,run1_257_20_r2,600.0,,51,-0.1306511022916819,2.0733592629133133,0.6794739432144024,2.2040103652049954,-74.98305229660292,16.34682827530012,34.653171724699874,1.4268800164017374,1.5681213167766974,0.5490196078431373,0.30947326629309,True,False,False,False,,False,20.0,,dox|activated|run1
